FID,Lat,Lon,Total_Distance,Total_Capacity,Roads in Grid
67.0,40.356,-3.68892,35.00673523705553,29.804922848569266,"Set(['', 'Calle Concepci\xc3\xb3n de la Oliva', 'Calle de La Rosa del Azafr\xc3\xa1n', 'Calle Flora Trist\xc3\xa1n', 'Calle de San Agapito', 'Calle Nelly Sachs', 'Calle de la Generosidad', 'Calle Conformidad', 'Paseo de Gigantes y Cabezudos', 'calle de Anoeta', 'Calle Villafuerte', 'Calle de Pan y Toros', 'Calle de Manuel Laborda', 'Calle Eduardo Maristany', 'Gran V\xc3\xada de Villaverde', 'Calle de Mart\xc3\xadnez Oviol', 'Calle Villarrosa', 'Calle de Selma Lagerloff', 'Calle August\xc3\xb3briga', 'Traves\xc3\xada de la Cascada', 'Avenida de Orovilla', 'Calle de Alcocer', 'Calle Torrevieja', 'Calle de Pilar Lorengar', 'Calle de Mar\xc3\xada Echarri', 'Calle de Mar\xc3\xada Callas', 'Avenida de la Felicidad', 'Calle Elda', 'Calle de Villafuerte', 'Plaza de las Sufragistas', 'Calle de La Dolorosa', 'Calle de Juan Jos\xc3\xa9 Mart\xc3\xadnez Seco', 'Calle de Villarramiel', 'Calle del Consenso', 'Calle Delmira Agustini', 'Calle de Clara Schumann', 'Calle de Villena', 'Calle de Mar\xc3\xada Barrientos', 'Paseo de la Estaci\xc3\xb3n', 'Calle de la Coalici\xc3\xb3n', 'Calle San Macario', 'Calle de la Dulzura', 'Calle de Mar\xc3\xada Orue', 'Calle de Campos Ib\xc3\xa1\xc3\xb1ez', 'Calle de la Tertulia', 'Calle del Sahara', 'Calle de Santa Eva', 'Calle de la Unanimidad', 'Calle de Leonor G\xc3\xb3ngora', 'Traves\xc3\xada del Desfiladero', 'Calle de Anoeta', 'Carretera de Villaverde a Vallecas', 'Calle de la Alianza', 'Calle de Bohemios', 'Calle Uranio', 'Calle Vicente Carballal', 'Calle Americio', 'Calle del Afecto', 'Calle Elche', 'Calle de la Ciudadan\xc3\xada', 'Avenida de Andaluc\xc3\xada', 'Calle de Pan yToros', 'Calle de Andrea Jordan', 'Calle de Lezo', 'Calle Fuente de la Capona', 'Calle de Grazia Deledda', 'Pasaje de la Avenencia', 'Calle de Villajoyosa', 'Calle de Lazcano', 'Calle del Diamante', 'Calle Carmen de Burgos', 'Calle San Gervasio'])"
68.0,40.3564,-3.61827,10.479723094774677,24.036838536417687,"Set(['', 'Avenida del Mayorazgo'])"
69.0,40.3565,-3.60649,4.171013338308751,2.571848372600068,"Set(['', 'Avenida de La Salmedina', 'Avenida del Cerro Milano', 'Calle del Embalse de San Juan'])"
71.0,40.3556,-3.75958,16.054087654920906,50.08715385736809,"Set(['', 'Carretera Legan\xc3\xa9s-Carabanchel', 'M-40', 'Avenida de Carabanchel Alto', 'Calle de los Morales', 'M-45', 'Camino de Butaque', 'Calle de la Torta', 'Calle Salvador Allende', 'Calle Atapuerca'])"
72.0,40.3561,-3.66537,10.626381973280898,10.626381973280898,Set([''])
73.0,40.3562,-3.6536,5.83801256791925,3.8290674664127975,"Set(['', 'Camino de la China', 'Camino Yeseros'])"
74.0,40.3563,-3.64182,8.68504005315518,20.24285953552721,"Set(['', 'Eje Sureste', 'Camino Yeseros'])"
75.0,40.3563,-3.63004,7.574914931944625,20.753925922221065,"Set(['', 'M-45'])"
76.0,40.3567,-3.57116,10.889399272272595,33.56252440992288,"Set(['', 'Carretera de acceso al Parque Tecnol\xc3\xb3gico de Valdeming\xc3\xb3mez', 'Autov\xc3\xada del Este', 'Ca\xc3\xb1ada Real Galiana'])"
77.0,40.3567,-3.55939,11.388388890310898,25.463023369127068,"Set(['', 'Carretera de acceso al Parque Tecnol\xc3\xb3gico de Valdeming\xc3\xb3mez', 'Ca\xc3\xb1ada Real Galiana', 'La Ca\xc3\xb1ada Real de Merinas', 'Autov\xc3\xada del Este', 'La Ca\xc3\xb1ada Real Galiana', 'Plaza de Castelao', 'Plaza de Joan Mir\xc3\xb3', 'Plaza de Gabriel Celaya', 'Plaza de la Regenta'])"
79.0,40.3654,-3.61835,13.38800244718151,9.251553439404827,"Set(['', 'Calle de Lumbrales', 'Calle de Fuentidue\xc3\xb1a', 'Calle de la Carrasca', 'Calle de la Mata del Agua', 'Avenida del Cerro Milano', 'Calle de la Caba\xc3\xb1a', 'Avenida de la Villa de Vallecas', 'Calle de Villamanta', 'Calle de la Huelga', 'Avenida Ensanche de Vallecas', 'Avenida de La Gavia', 'Calle de La Granja de San Ildefonso', 'Calle de Pe\xc3\xb1aranda de Bracamonte', 'Calle de Talamanca del Jarama', 'Calle de El Boalo', 'Calle de Villaluenga de la Sagra', 'Calle de Batres', 'Calle de Malpica de Tajo', 'Avenida de la Gavia', 'Calle de Pedrosa del Pr\xc3\xadncipe', 'Calle de Canencia de la Sierra', 'Calle de Alameda del Valle', 'Calle de Quijorna', 'Avenida del Mayorazgo', 'Calle de Estremera', 'Calle del Alto de la Sartenilla', 'Calle de Serranillos del Valle', 'Calle de Navamures', 'Calle de Puentedey'])"
80.0,40.3657,-3.55946,7.7279361035654475,20.710489616292506,"Set(['', 'Palza de la Ca\xc3\xb1ada Real', 'La Ca\xc3\xb1ada Real de Merinas', 'Palza de Blas Infante', 'Plaza de Clar\xc3\xadn', 'Plaza de Gabriel Celaya', 'Plaza de la Regenta'])"
81.0,40.3654,-3.63013,14.170999017662732,4.194955103451259,"Set(['', 'Avenida del Mayorazgo', 'Calle del Puerto de Porzuna', 'Calle de Cincovillas', 'Bulevar de la Naturaleza', 'Calle de La Granja de San Ildefonso', 'Calle de Alameda del Valle'])"
82.0,40.3655,-3.60657,23.382835291381262,38.15619951389186,"Set(['', 'Calle de Jos\xc3\xa9 Guti\xc3\xa9rrez Maroto', 'Alto del Retiro', 'Calle del Alto de la Sartenilla', 'Calle del Embalse de Navacerrada', 'Calle del Embalse de Valmayor', 'Avenida de La Salmedina', 'Avenida Ensanche de Vallecas', 'Calle de la Ca\xc3\xb1ada del Sant\xc3\xadsimo', 'Calle de Rafael de Le\xc3\xb3n', 'Calle de Entrepe\xc3\xb1as', 'Calle del Embalse de La Jarosa', 'Calle del Corral de Almaguer', 'Calle de Zorita de la Frontera', 'Calle de Pe\xc3\xb1aranda de Bracamonte', 'Calle de Jos\xc3\xa9 Tamayo', 'Calle de La Adrada', 'Calle de Bernardino de Pantorba', 'Calle Ba\xc3\xb1os de Valdearados', 'Avenida del Cerro Milano', 'Calle de Puentedey', 'Avenida de las Suertes', 'Calle del Embalse de Picadas'])"
83.0,40.3657,-3.57124,9.133069684449836,18.71367043375187,"Set(['', 'Autov\xc3\xada del Este'])"
84.0,40.3646,-3.75968,18.975995384580216,22.37995113922142,"Set(['', 'Calle de Isabela Saberana', 'Calle de Pique\xc3\xb1as', 'Calle Catedral de Toledo', 'Calle de la Ciudad Vieja de C\xc3\xa1ceres', 'Calle Palau de la M\xc3\xbasica', 'Calle de la Forsitia', 'Avenida de Carabanchel Alto', 'Calle del Archivo de Indias', 'Calle de los Morales', 'Calle de Francisco Lizcano', 'Calle de Pianoforte', 'Calle de las Violas', 'Calle Enrique Mart\xc3\xadn', 'Calle de Gaspar Morales', 'Calle de Rufino Rej\xc3\xb3n', 'Traves\xc3\xada de Alfredo Aleix', 'Calle de los Violonchelos', 'Calle Patrimonio de la Humanidad', 'Avenida de la Peseta', 'Caminos de las Pique\xc3\xb1as', 'Traves\xc3\xada de Carpio y Torta', 'Calle Alfonso Fern\xc3\xa1ndez', 'Calle Lonja de la Seda', 'Calle Marianistas', 'Calle de la Pi\xc3\xb1a', 'Camino de las Pique\xc3\xb1as', 'Calle Casatejada', 'Calle Campos de Castilla', 'Calle del Carpio y Torta', 'Calle de los Contrabajos', 'Calle Nuestra Se\xc3\xb1ora de Gracia', 'Calle Inocencia S\xc3\xa1nchez', 'Calle del Pinar de San Jos\xc3\xa9', 'Calle de Allariz', 'Calle de Carolina Baeza', 'Calle Palmeral de Elche', 'Calle Cuevas de Altamira', 'Calle de Alfredo Aleix', 'Calle Prado Merinero', 'Calle del Fagot', 'Calle Real Alc\xc3\xa1zar de Sevilla', 'Calle del Arte Rupestre del Mediterr\xc3\xa1neo', 'Calle de la Mezquita de C\xc3\xb3rdoba', 'Calle Monasterio de Poblet', 'Calle Mar\xc3\xada Zurita', 'Calle Universidad de Alcal\xc3\xa1 de Henares', 'Calle Paisaje de Aranjuez', 'Calle M\xc3\xa9dulas', 'Calle de Tordesillas', 'Calle del Valle de Boi', 'Calle de Gabriel G\xc3\xb3mez', 'Calle Murallas de Lugo', 'Calle Acueducto de Segovia', 'Calle Murallas de \xc3\x81vila', 'Calle de G\xc3\xb3mez de Arteche', 'Calle de Genara G\xc3\xb3mez', 'Calle Casa Mil\xc3\xa1', 'Calle Parque de Garajonai', 'Calle de las Cambrijas', 'Calle Mercedes Rodr\xc3\xadguez', 'Calle de Iglesias Extramuros', 'Calle Iglesias Extramuros', 'Calle Soledades', 'Camino de las Cruces', 'Calle del Jacobeo', 'Calle de la Torta', 'Calle del Arte Mud\xc3\xa9jar de Teruel', 'Calle de los Clarinetes', 'Calle Arquitectura de Tarragona', 'Calle de la Plaza Mayor de Salamanca', 'Calle Villa Guadalupe', 'Calle Jacobeo', 'Calle San Crist\xc3\xb3bal de la Laguna', 'Calle Catedral de Burgos', 'Calle Salvador Allende'])"
