name,lanes,road_capacity_from_conversion,highway,oneway,distance,road_capacity
Cambridgeside Place,,2,tertiary,,0.197882183025,0.7915287321
Berkshire Place,1,1,residential,,0.0764775377497,0.152955075499
Pine Street,2,1,residential,yes,0.328076796582,0.328076796582
,1,4,trunk_link,yes,0.194388757922,0.777555031687
Peters Street,2,1,residential,,0.102462836495,0.204925672989
Berkshire Place,1,1,residential,,0.10756467533,0.215129350659
Munroe Street,2,1,residential,yes,0.150811286862,0.150811286862
Pleasant Place,2,1,residential,,0.107788518583,0.215577037167
Broadway,2,3,secondary,yes,0.901347496794,2.70404249038
Land Boulevard,2,4,trunk,yes,0.0244577899704,0.0978311598815
Inman Street,2,1,unclassified,yes,0.315617951419,0.315617951419
Pleasant Street,1,1,residential,yes,0.568566572732,0.568566572732
Temple Street,2,1,residential,yes,0.111067867523,0.111067867523
Bishop Allen Drive,2,2,tertiary,yes,0.177379546572,0.354759093144
Purrington Street,2,1,service,no,0.272982536742,0.545965073484
Suffolk Street,2,1,residential,yes,0.170863968061,0.170863968061
Laurel Street,2,1,residential,,0.106776933923,0.213553867846
Kinnaird Street,2,1,residential,,0.118648812217,0.237297624434
Amherst Street,2,1,residential,no,0.266310070364,0.532620140728
School Street,2,1,residential,yes,0.209823630346,0.209823630346
Jay Street,2,1,residential,,0.205185000684,0.410370001368
Salem Street,2,1,residential,yes,0.0912820749564,0.0912820749564
Cambridge Parkway,2,1,residential,yes,0.687070319678,0.687070319678
Union Street,2,1,residential,yes,0.337596549135,0.337596549135
Portland Street,2,3,secondary,,0.550317680138,3.30190608083
Lilac Court,1,1,residential,,0.115530110101,0.231060220202
Fifth Street,2,1,residential,,0.228447028879,0.456894057759
Third Street,2,3,secondary,,0.460488294444,2.76292976666
Prospect Street,2,3,secondary,,0.0903083485103,0.541850091062
Douglass Street,2,1,residential,yes,0.112039642257,0.112039642257
Albany Street,2,3,secondary,,0.405177977515,2.43106786509
Rogers Street,2,1,residential,yes,0.191185434598,0.191185434598
Memorial Drive,4,4,trunk,,0.690480244461,5.52384195569
Dorothy Doyle Way,2,1,residential,,0.0758784386547,0.151756877309
Windsor Street,2,2,tertiary,yes,0.460029023738,0.920058047476
Franklin Street,2,1,residential,yes,1.11665199039,1.11665199039
Main Street,2,3,secondary,yes,0.24858844093,0.745765322789
Webster Avenue,2,1,residential,,0.458413094649,0.916826189298
Sixth Street,2,2,tertiary,,0.463625333217,1.85450133287
,,1,service,,0.0613228837235,0.122645767447
,,1,service,,0.054554101519,0.109108203038
Rogers Street,2,1,residential,,0.505993482736,1.01198696547
,,1,service,,0.094863580415,0.18972716083
,,1,unclassified,,0.130844799252,0.261689598504
Windsor Street,2,2,tertiary,,0.638952633961,2.55581053584
,,1,service,,0.0442360542363,0.0884721084726
,1,4,trunk_link,yes,0.198585063016,0.794340252065
,,4,trunk_link,yes,0.0416530310196,0.166612124078
,1,4,trunk_link,yes,0.199164074907,0.796656299627
Ames Street,2,2,tertiary,no,0.0916305975579,0.366522390232
,,1,service,,0.0596049418968,0.119209883794
Saint Paul Street,2,1,residential,,0.140537812558,0.281075625115
Putnam Court,2,1,residential,,0.034436732471,0.0688734649419
Norfolk Court,1,1,residential,,0.0781372756765,0.156274551353
Putnam Avenue,2,3,secondary,,0.758231129011,4.54938677407
Kelly Road,1,1,residential,no,0.0895529579088,0.179105915818
,,1,service,,0.151619630428,0.303239260855
,,1,service,,0.10385004883,0.207700097659
,,1,service,,0.0722995457972,0.144599091594
Land Boulevard,2,4,trunk,yes,0.0502443544091,0.200977417636
Henry Street,2,1,residential,,0.135491511237,0.270983022474
Upton Street,1,1,residential,,0.165201932025,0.33040386405
Sidney Street,2,3,secondary,yes,0.0463098103496,0.138929431049
Rogers Street,1,1,residential,,0.247117635317,0.494235270633
Bent Street,2,1,residential,,0.138929966616,0.277859933232
Amherst Street,2,1,residential,yes,0.161694751251,0.161694751251
William Street,1,1,residential,yes,0.283107102357,0.283107102357
,1,4,trunk_link,yes,0.0424646735378,0.169858694151
,2,4,trunk_link,yes,0.0774027276219,0.309610910487
Amherst Street,,1,residential,yes,0.2044963435,0.2044963435
Athenaeum Street,2,1,residential,,0.134916146204,0.269832292408
Village Street,1,1,service,yes,0.0701061166162,0.0701061166162
Memorial Drive,2,4,trunk,yes,0.213836513299,0.855346053197
Sciarappa Street,2,1,residential,,0.384547111673,0.769094223346
Dock Street,2,1,residential,,0.0635161756703,0.127032351341
Worcester Street,2,1,residential,yes,0.166456300475,0.166456300475
Decatur Street,1,1,residential,no,0.157432572227,0.314865144454
Binney Street,2,1,residential,,0.258175890852,0.516351781703
Cherry Court,1,1,residential,,0.0313934223387,0.0627868446775
Crossland Street,1,1,residential,,0.0667042313987,0.133408462797
Memorial Drive,2,4,trunk,yes,0.502966238897,2.01186495559
Henry Street,1,1,residential,yes,0.164905395516,0.164905395516
Binney Street,,1,residential,yes,0.0373626524449,0.0373626524449
Cross Street,2,1,service,no,0.162020176864,0.324040353728
Boardman Street,2,1,residential,,0.0972292420997,0.194458484199
Hancock Street,2,1,residential,yes,0.398253971171,0.398253971171
Washington Street,2,1,residential,yes,0.278425899325,0.278425899325
First Street,2,2,tertiary,yes,0.148065100904,0.296130201808
,3,4,trunk_link,yes,0.377256661695,1.50902664678
Trinity Place,2,1,residential,yes,0.118814854706,0.118814854706
Audrey Street,2,1,residential,,0.198973493388,0.397946986776
Erie Street,2,3,secondary,no,0.136495883492,0.818975300955
Pilgrim Street,1,1,service,no,0.105765673781,0.211531347562
Land Boulevard,2,4,trunk,yes,0.737232440163,2.94892976065
