"('', '328024584', '42.3508275', '-71.1041033', '42.3508781', '-71.1042759')","('328056586', '42.3505322', '-71.1067776', '42.3505322', '-71.1067776')","('328025417', '42.35079', '-71.1043107', '42.3508295', '-71.1046049')","('328025418', '42.3506667', '-71.1046398', '42.3506273', '-71.1043474')","('328025419', '42.3508436', '-71.1042987', '42.3506273', '-71.1043474')","('328043229', '42.3508295', '-71.1046049', '42.3504826', '-71.1055625')","('328043231', '42.3506174', '-71.1042777', '42.3504787', '-71.1043072')","('328043232', '42.3504368', '-71.105108', '42.3504138', '-71.1049006')","('328043233', '42.3506273', '-71.1043474', '42.3507862', '-71.1042406')","('328024676', '42.3508781', '-71.1042759', '42.3508275', '-71.1041033')","('328024677', '42.3508275', '-71.1041033', '42.3506128', '-71.1034361')","('305971439', '42.3644344', '-71.0913915', '42.3648595', '-71.0913401')"
"('River Street', '302156887', '42.3648887', '-71.1057996', '42.365362', '-71.104203')","('302156889', '42.3622591', '-71.1135493', '42.3648887', '-71.1057996')"
"('Ames Street', '302156851', '42.3626217', '-71.0881306', '42.3640135', '-71.0873308')","('302156854', '42.3626268', '-71.0882071', '42.3624442', '-71.088182')"
