FID,Lat,Lon,Total_Distance,Total_Capacity
0.0,-0.366076914146,-78.5428332537999,0.0,0.0
1.0,-0.357045577867,-78.5697717488999,3.7632144939710206,7.526428987942041
2.0,-0.357033332726,-78.5248788316,5.029104462847897,13.553667802876067
3.0,-0.357042998271,-78.5607929999,5.533444743394529,11.066889486789059
4.0,-0.357040411652,-78.5518142508,5.141165305821998,13.13080018522911
5.0,-0.357038082526,-78.5428357538999,5.099627053155608,10.199254106311216
6.0,-0.357035420028,-78.5338572519,4.277380094325323,12.080632963667956
7.0,-0.348008494898,-78.5787530000999,1.6965604884081384,3.393120976816277
8.0,-0.348001587056,-78.5518167509,8.114767355407459,20.914746002418923
9.0,-0.347994502896,-78.524881003,2.621917139519147,9.312383726223002
10.0,-0.348006162293,-78.5697741692,5.92800716673725,11.8560143334745
11.0,-0.348003753847,-78.5607955818999,11.02517184348699,23.4275713945027
12.0,-0.347998919299,-78.5428382437,2.8459813744658935,5.691962748931787
13.0,-0.347996505507,-78.5338594945,2.734324031233558,5.468648062467116
14.0,-0.338969502733,-78.5787554949999,4.807815811335911,9.615631622671822
15.0,-0.338960255355,-78.5428405786,13.730877930020808,27.461755860041617
16.0,-0.338971420679,-78.5877342494,0.0,0.0
17.0,-0.338962508494,-78.5518189989,10.197230679949794,25.174976651741165
18.0,-0.33895783974,-78.5338616605999,6.362551656618685,12.72510331323737
19.0,-0.338955420806,-78.5248832509,3.8173528157710686,10.376239799944925
20.0,-0.33896700078,-78.5697764936,9.883390983900375,20.438470965047184
21.0,-0.338964504086,-78.5607974974,15.96529541703625,33.661181848812966
22.0,-0.32993250443,-78.5877365042999,0.0,0.0
23.0,-0.32992150846,-78.5428425029,17.701827378610883,35.213159247432614
24.0,-0.329923419386,-78.5518212538,8.840211824545635,26.76213241517342
25.0,-0.329925586074,-78.560799747,11.945938403879056,25.940767731872405
26.0,-0.329930251206,-78.5787574123,4.867338861046937,9.734677722093874
27.0,-0.329927751103,-78.5697785761999,9.10282434017301,18.20564868034602
28.0,-0.329919002981,-78.5338639991,20.895313939113283,41.790627878226566
29.0,-0.329916502794,-78.5248855005,14.328796170854146,28.65759234170829
30.0,-0.320880171513,-78.5338663322999,11.77054532743864,23.54109065487728
31.0,-0.320882586919,-78.5428447525,9.662774822041802,19.325549644083605
32.0,-0.320884501373,-78.5518235034,13.308591893051405,28.95241051050707
33.0,-0.320886498729,-78.5608019966999,12.764639726296299,28.824928661772475
34.0,-0.320888494321,-78.5697804952999,9.658137297615527,19.316274595231054
35.0,-0.320890747545,-78.5787595871999,0.7528257429387022,1.5056514858774044
