FID,Lat,Lon,Total_Distance,Total_Capacity
16.0,40.3293,-3.64156,4.59763031692111,3.461340962829145
26.0,40.3293,-3.62979,6.565342242329255,11.422558227043025
29.0,40.3384,-3.6181,6.018897487125787,9.470513972290183
30.0,40.3383,-3.62988,5.169056675295092,10.918884752419261
31.0,40.3385,-3.60633,4.7154395713666055,8.687810734529473
32.0,40.3385,-3.59456,5.934371673506733,7.959490865504345
51.0,40.3475,-3.59464,4.68919123816651,5.356420208764718
54.0,40.3476,-3.58286,6.970397324769929,12.157322252065857
55.0,40.3476,-3.57109,3.701751465113049,3.2184037963396923
56.0,40.3472,-3.65351,5.612107777785474,3.5022388248011294
57.0,40.3473,-3.64174,9.613432286485416,30.08864332251907
60.0,40.3556,-3.7478,14.755496189863118,32.51939886075383
61.0,40.3565,-3.59472,12.73093493589339,12.334278152181895
62.0,40.3566,-3.58294,7.832478304212146,5.593965539009353
63.0,40.3561,-3.67715,15.699032980085585,17.792448903858254
64.0,40.3558,-3.72425,8.059734519559147,8.556002632062384
65.0,40.3559,-3.71247,12.000063864875829,10.311519491875314
66.0,40.3559,-3.7007,35.00974124877418,16.771305564816146
67.0,40.356,-3.68892,35.00673523705553,29.804922848569266
68.0,40.3564,-3.61827,10.479723094774677,24.036838536417687
69.0,40.3565,-3.60649,4.171013338308751,2.571848372600068
71.0,40.3556,-3.75958,16.054087654920906,50.08715385736809
72.0,40.3561,-3.66537,10.626381973280898,10.626381973280898
73.0,40.3562,-3.6536,5.83801256791925,3.8290674664127975
74.0,40.3563,-3.64182,8.68504005315518,20.24285953552721
75.0,40.3563,-3.63004,7.574914931944625,20.753925922221065
76.0,40.3567,-3.57116,10.889399272272595,33.56252440992288
77.0,40.3567,-3.55939,11.388388890310898,25.463023369127068
79.0,40.3654,-3.61835,13.38800244718151,9.251553439404827
80.0,40.3657,-3.55946,7.7279361035654475,20.710489616292506
81.0,40.3654,-3.63013,14.170999017662732,4.194955103451259
82.0,40.3655,-3.60657,23.382835291381262,38.15619951389186
83.0,40.3657,-3.57124,9.133069684449836,18.71367043375187
84.0,40.3646,-3.75968,18.975995384580216,22.37995113922142
85.0,40.3658,-3.54769,16.753744045079628,12.72547392540003
86.0,40.3649,-3.71257,15.824290549712016,23.809610524814634
87.0,40.3649,-3.70079,22.771596962406313,24.21813898293841
88.0,40.3652,-3.65368,15.597736989961385,25.856041811495867
89.0,40.3653,-3.64191,13.52311592994553,9.274231642395367
